	ImageNumber	ObjectNumber	Location_Center_X	Location_Center_Y	Location_Center_Z	Mitocheck_Object_ID
0	1	1	356.6	20.905882352941177	0	3
1	1	2	330.8529411764706	24.308823529411764	0	3
2	1	3	588.90625	39.208333333333336	0	4
3	1	4	339.96153846153845	40.46153846153846	0	3
4	1	5	598.021052631579	68.28421052631579	0	4
5	1	6	813.0212765957447	122.75886524822695	0	13
6	1	7	717.3734939759037	126.3855421686747	0	14
7	1	8	709.3604651162791	152.13953488372093	0	14
8	1	9	434.3376623376623	191.57142857142858	0	25
9	1	10	413.8	206.88	0	25
10	1	11	766.0987654320987	265.0617283950617	0	40
11	1	12	740.0540540540541	271.2837837837838	0	40
12	1	13	155.9	299.1363636363636	0	45
13	1	14	116.64835164835165	303.61538461538464	0	45
14	1	15	182.75862068965517	305.6551724137931	0	45
15	1	16	672.1704545454545	343.0113636363636	0	52
16	1	17	113.1264367816092	354.41379310344826	0	54
17	1	18	143.72043010752688	355.81720430107526	0	54
18	1	19	661.7951807228916	370.06024096385545	0	52
19	1	20	992.0833333333334	424.5925925925926	0	59
20	1	21	1046.340909090909	446.59090909090907	0	63
21	1	22	326.4054054054054	463.45045045045043	0	64
22	1	23	204.1851851851852	459.7901234567901	0	65
23	1	24	1049.6781609195402	481.8965517241379	0	63
24	1	25	190.5	481.8875	0	65
25	1	26	835.7033898305085	654.3305084745763	0	78
26	1	27	816.4285714285714	658.6285714285714	0	78
27	1	28	482.8314606741573	729.8651685393259	0	88
28	1	29	506.5568181818182	734.8068181818181	0	88
29	1	30	526.6595744680851	792.0744680851063	0	94
30	1	31	516.4512195121952	811.2926829268292	0	94
31	1	32	495.375	815.3863636363636	0	94
32	1	33	752.5921052631579	822.6315789473684	0	98
33	1	34	727.5384615384615	848.7692307692307	0	98
34	1	35	759.5612244897959	854.1428571428571	0	98
35	1	36	596.156626506024	873.4698795180723	0	101
36	1	37	739.031746031746	871.6825396825396	0	98
37	1	38	92.34188034188034	888.3675213675214	0	102
38	1	39	576.9325842696629	895.629213483146	0	101
39	1	40	787.099173553719	928.9752066115702	0	108
40	1	41	826.7787610619469	944.0530973451328	0	108
