	Plate	Well	Well Number	Original Gene Target	Frames	Plate_Map_Name	Gene_Replicate	Site	DNA
46	LT0006_10	C1	49	ENSG00000149503	53	LT0006_10_49	1	1	LT0006_10/LT0006_10_49_53.tif
47	LT0006_10	C4	52	ENSG00000149503	56	LT0006_10_52	1	1	LT0006_10/LT0006_10_52_56.tif
48	LT0006_26	A4	4	ENSG00000149503	32	LT0006_26_4	1	1	LT0006_26/LT0006_26_4_32.tif
49	LT0006_26	C1	49	ENSG00000149503	31	LT0006_26_49	1	1	LT0006_26/LT0006_26_49_31.tif
50	LT0006_26	C4	52	ENSG00000149503	59	LT0006_26_52	1	1	LT0006_26/LT0006_26_52_59.tif
51	LT0006_44	A4	4	ENSG00000149503	48	LT0006_44_4	1	1	LT0006_44/LT0006_44_4_48.tif
52	LT0006_44	C1	49	ENSG00000149503	39	LT0006_44_49	1	1	LT0006_44/LT0006_44_49_39.tif
53	LT0006_44	C4	52	ENSG00000149503	55	LT0006_44_52	1	1	LT0006_44/LT0006_44_52_55.tif
54	LT0007_08	A4	4	ENSG00000149503	44	LT0007_08_4	1	1	LT0007_08/LT0007_08_4_44.tif
55	LT0007_08	C1	49	ENSG00000149503	50	LT0007_08_49	1	1	LT0007_08/LT0007_08_49_50.tif
56	LT0007_08	C4	52	ENSG00000149503	46	LT0007_08_52	1	1	LT0007_08/LT0007_08_52_46.tif
57	LT0007_10	A4	4	ENSG00000149503	41	LT0007_10_4	1	1	LT0007_10/LT0007_10_4_41.tif
58	LT0007_10	C1	49	ENSG00000149503	56	LT0007_10_49	1	1	LT0007_10/LT0007_10_49_56.tif
59	LT0007_10	C4	52	ENSG00000149503	39	LT0007_10_52	1	1	LT0007_10/LT0007_10_52_39.tif
60	LT0007_20	A4	4	ENSG00000149503	61	LT0007_20_4	1	1	LT0007_20/LT0007_20_4_61.tif
61	LT0007_20	C1	49	ENSG00000149503	38	LT0007_20_49	1	1	LT0007_20/LT0007_20_49_38.tif
62	LT0007_20	C4	52	ENSG00000149503	34	LT0007_20_52	1	1	LT0007_20/LT0007_20_52_34.tif
63	LT0007_26	A4	4	ENSG00000149503	37	LT0007_26_4	1	1	LT0007_26/LT0007_26_4_37.tif
64	LT0007_26	C1	49	ENSG00000149503	52	LT0007_26_49	1	1	LT0007_26/LT0007_26_49_52.tif
65	LT0007_26	C4	52	ENSG00000149503	48	LT0007_26_52	1	1	LT0007_26/LT0007_26_52_48.tif
66	LT0008_07	A4	4	ENSG00000149503	56	LT0008_07_4	1	1	LT0008_07/LT0008_07_4_56.tif
67	LT0008_07	C1	49	ENSG00000149503	34	LT0008_07_49	1	1	LT0008_07/LT0008_07_49_34.tif
68	LT0008_07	C4	52	ENSG00000149503	35	LT0008_07_52	1	1	LT0008_07/LT0008_07_52_35.tif
69	LT0008_14	A4	4	ENSG00000149503	55	LT0008_14_4	1	1	LT0008_14/LT0008_14_4_55.tif
70	LT0008_14	C1	49	ENSG00000149503	48	LT0008_14_49	1	1	LT0008_14/LT0008_14_49_48.tif
71	LT0008_14	C4	52	ENSG00000149503	42	LT0008_14_52	1	1	LT0008_14/LT0008_14_52_42.tif
72	LT0008_31	A4	4	ENSG00000149503	43	LT0008_31_4	1	1	LT0008_31/LT0008_31_4_43.tif
73	LT0008_31	C1	49	ENSG00000149503	57	LT0008_31_49	1	1	LT0008_31/LT0008_31_49_57.tif
74	LT0008_31	C4	52	ENSG00000149503	51	LT0008_31_52	1	1	LT0008_31/LT0008_31_52_51.tif
75	LT0009_05	A4	4	ENSG00000149503	47	LT0009_05_4	1	1	LT0009_05/LT0009_05_4_47.tif
76	LT0009_05	C1	49	ENSG00000149503	44	LT0009_05_49	1	1	LT0009_05/LT0009_05_49_44.tif
77	LT0009_05	C4	52	ENSG00000149503	50	LT0009_05_52	1	1	LT0009_05/LT0009_05_52_50.tif
78	LT0009_07	A4	4	ENSG00000149503	40	LT0009_07_4	1	1	LT0009_07/LT0009_07_4_40.tif
79	LT0009_07	C1	49	ENSG00000149503	49	LT0009_07_49	1	1	LT0009_07/LT0009_07_49_49.tif
80	LT0009_07	C4	52	ENSG00000149503	46	LT0009_07_52	1	1	LT0009_07/LT0009_07_52_46.tif
81	LT0009_14	A4	4	ENSG00000149503	31	LT0009_14_4	1	1	LT0009_14/LT0009_14_4_31.tif
82	LT0009_14	C1	49	ENSG00000149503	35	LT0009_14_49	1	1	LT0009_14/LT0009_14_49_35.tif
83	LT0010_06	A4	4	ENSG00000149503	56	LT0010_06_4	1	1	LT0010_06/LT0010_06_4_56.tif
84	LT0010_06	C1	49	ENSG00000149503	46	LT0010_06_49	1	1	LT0010_06/LT0010_06_49_46.tif
85	LT0010_06	C4	52	ENSG00000149503	33	LT0010_06_52	1	1	LT0010_06/LT0010_06_52_33.tif
86	LT0010_26	A4	4	ENSG00000149503	54	LT0010_26_4	1	1	LT0010_26/LT0010_26_4_54.tif
87	LT0010_26	C1	49	ENSG00000149503	38	LT0010_26_49	1	1	LT0010_26/LT0010_26_49_38.tif
88	LT0010_26	C4	52	ENSG00000149503	57	LT0010_26_52	1	1	LT0010_26/LT0010_26_52_57.tif
89	LT0010_27	A4	4	ENSG00000149503	56	LT0010_27_4	1	1	LT0010_27/LT0010_27_4_56.tif
90	LT0010_27	C1	49	ENSG00000149503	39	LT0010_27_49	1	1	LT0010_27/LT0010_27_49_39.tif
91	LT0010_27	C4	52	ENSG00000149503	53	LT0010_27_52	1	1	LT0010_27/LT0010_27_52_53.tif
92	LT0011_07	A4	4	ENSG00000149503	40	LT0011_07_4	1	1	LT0011_07/LT0011_07_4_40.tif
93	LT0011_07	C1	49	ENSG00000149503	34	LT0011_07_49	1	1	LT0011_07/LT0011_07_49_34.tif
94	LT0011_07	C4	52	ENSG00000149503	38	LT0011_07_52	1	1	LT0011_07/LT0011_07_52_38.tif
95	LT0011_26	A4	4	ENSG00000149503	61	LT0011_26_4	1	1	LT0011_26/LT0011_26_4_61.tif
96	LT0011_26	C1	49	ENSG00000149503	54	LT0011_26_49	1	1	LT0011_26/LT0011_26_49_54.tif
97	LT0011_26	C4	52	ENSG00000149503	60	LT0011_26_52	1	1	LT0011_26/LT0011_26_52_60.tif
98	LT0011_30	A4	4	ENSG00000149503	35	LT0011_30_4	1	1	LT0011_30/LT0011_30_4_35.tif
99	LT0011_30	C1	49	ENSG00000149503	58	LT0011_30_49	1	1	LT0011_30/LT0011_30_49_58.tif
100	LT0011_30	C4	52	ENSG00000149503	36	LT0011_30_52	1	1	LT0011_30/LT0011_30_52_36.tif
101	LT0012_25	A4	4	ENSG00000149503	56	LT0012_25_4	1	1	LT0012_25/LT0012_25_4_56.tif
102	LT0012_25	C1	49	ENSG00000149503	50	LT0012_25_49	1	1	LT0012_25/LT0012_25_49_50.tif
103	LT0012_25	C4	52	ENSG00000149503	37	LT0012_25_52	1	1	LT0012_25/LT0012_25_52_37.tif
104	LT0012_27	A4	4	ENSG00000149503	39	LT0012_27_4	1	1	LT0012_27/LT0012_27_4_39.tif
105	LT0012_27	C1	49	ENSG00000149503	31	LT0012_27_49	1	1	LT0012_27/LT0012_27_49_31.tif
106	LT0012_27	C4	52	ENSG00000149503	33	LT0012_27_52	1	1	LT0012_27/LT0012_27_52_33.tif
107	LT0012_29	A4	4	ENSG00000149503	41	LT0012_29_4	1	1	LT0012_29/LT0012_29_4_41.tif
108	LT0012_29	C1	49	ENSG00000149503	54	LT0012_29_49	1	1	LT0012_29/LT0012_29_49_54.tif
109	LT0012_29	C4	52	ENSG00000149503	46	LT0012_29_52	1	1	LT0012_29/LT0012_29_52_46.tif
110	LT0013_11	A4	4	ENSG00000149503	46	LT0013_11_4	1	1	LT0013_11/LT0013_11_4_46.tif
111	LT0013_11	C1	49	ENSG00000149503	54	LT0013_11_49	1	1	LT0013_11/LT0013_11_49_54.tif
112	LT0013_11	C4	52	ENSG00000149503	56	LT0013_11_52	1	1	LT0013_11/LT0013_11_52_56.tif
113	LT0013_38	A4	4	ENSG00000149503	38	LT0013_38_4	1	1	LT0013_38/LT0013_38_4_38.tif
114	LT0013_38	C1	49	ENSG00000149503	50	LT0013_38_49	1	1	LT0013_38/LT0013_38_49_50.tif
115	LT0013_38	C4	52	ENSG00000149503	59	LT0013_38_52	1	1	LT0013_38/LT0013_38_52_59.tif
116	LT0013_42	A4	4	ENSG00000149503	41	LT0013_42_4	1	1	LT0013_42/LT0013_42_4_41.tif
117	LT0013_42	C1	49	ENSG00000149503	61	LT0013_42_49	1	1	LT0013_42/LT0013_42_49_61.tif
118	LT0013_42	C4	52	ENSG00000149503	45	LT0013_42_52	1	1	LT0013_42/LT0013_42_52_45.tif
119	LT0014_01	A4	4	ENSG00000149503	31	LT0014_01_4	1	1	LT0014_01/LT0014_01_4_31.tif
120	LT0014_01	C1	49	ENSG00000149503	55	LT0014_01_49	1	1	LT0014_01/LT0014_01_49_55.tif
