	Plate	Well	Well Number	Original Gene Target	Frames
4527	LT0004_47	M16	304	negative control	62
4538	LT0004_47	N3	315	negative control	55
4575	LT0004_47	O16	352	negative control	32
4622	LT0005_06	A15	15	negative control	32
4633	LT0005_06	B2	26	negative control	38
4670	LT0005_06	C15	63	negative control	40
4681	LT0005_06	D2	74	negative control	56
4922	LT0005_06	N3	315	negative control	34
4959	LT0005_06	O16	352	negative control	37
4970	LT0005_06	P3	363	negative control	54
5006	LT0005_44	A15	15	negative control	42
5017	LT0005_44	B2	26	negative control	45
5054	LT0005_44	C15	63	negative control	49
5306	LT0005_44	N3	315	negative control	58
5343	LT0005_44	O16	352	negative control	31
5390	LT0005_47	A15	15	negative control	45
5401	LT0005_47	B2	26	negative control	34
5438	LT0005_47	C15	63	negative control	52
5449	LT0005_47	D2	74	negative control	43
5690	LT0005_47	N3	315	negative control	56
5727	LT0005_47	O16	352	negative control	41
5774	LT0006_10	A15	15	negative control	51
5785	LT0006_10	B2	26	negative control	42
5822	LT0006_10	C15	63	negative control	35
5833	LT0006_10	D2	74	negative control	37
6063	LT0006_10	M16	304	negative control	35
6074	LT0006_10	N3	315	negative control	46
6111	LT0006_10	O16	352	negative control	62
6158	LT0006_26	A15	15	negative control	51
6169	LT0006_26	B2	26	negative control	34
6206	LT0006_26	C15	63	negative control	43
6217	LT0006_26	D2	74	negative control	35
6447	LT0006_26	M16	304	negative control	51
6458	LT0006_26	N3	315	negative control	39
6495	LT0006_26	O16	352	negative control	45
6542	LT0006_44	A15	15	negative control	46
6553	LT0006_44	B2	26	negative control	51
6590	LT0006_44	C15	63	negative control	34
6601	LT0006_44	D2	74	negative control	57
6831	LT0006_44	M16	304	negative control	54
6842	LT0006_44	N3	315	negative control	46
6879	LT0006_44	O16	352	negative control	44
6926	LT0007_08	A15	15	negative control	52
6937	LT0007_08	B2	26	negative control	52
6974	LT0007_08	C15	63	negative control	47
6985	LT0007_08	D2	74	negative control	48
7215	LT0007_08	M16	304	negative control	36
7226	LT0007_08	N3	315	negative control	40
7263	LT0007_08	O16	352	negative control	34
7310	LT0007_10	A15	15	negative control	31
7321	LT0007_10	B2	26	negative control	62
7358	LT0007_10	C15	63	negative control	36
7369	LT0007_10	D2	74	negative control	61
7599	LT0007_10	M16	304	negative control	31
7610	LT0007_10	N3	315	negative control	48
7647	LT0007_10	O16	352	negative control	49
7694	LT0007_20	A15	15	negative control	35
7705	LT0007_20	B2	26	negative control	33
7742	LT0007_20	C15	63	negative control	47
7753	LT0007_20	D2	74	negative control	60
7983	LT0007_20	M16	304	negative control	34
7994	LT0007_20	N3	315	negative control	33
8031	LT0007_20	O16	352	negative control	41
8078	LT0007_26	A15	15	negative control	44
8089	LT0007_26	B2	26	negative control	47
8126	LT0007_26	C15	63	negative control	38
8137	LT0007_26	D2	74	negative control	52
8367	LT0007_26	M16	304	negative control	40
8378	LT0007_26	N3	315	negative control	62
8415	LT0007_26	O16	352	negative control	31
8462	LT0008_07	A15	15	negative control	41
8473	LT0008_07	B2	26	negative control	49
8510	LT0008_07	C15	63	negative control	42
8521	LT0008_07	D2	74	negative control	57
8751	LT0008_07	M16	304	negative control	62
8762	LT0008_07	N3	315	negative control	54
8799	LT0008_07	O16	352	negative control	58
8846	LT0008_14	A15	15	negative control	33
8857	LT0008_14	B2	26	negative control	56
8894	LT0008_14	C15	63	negative control	33
8905	LT0008_14	D2	74	negative control	61
9146	LT0008_14	N3	315	negative control	34
9183	LT0008_14	O16	352	negative control	61
9614	LT0008_31	A15	15	negative control	58
9625	LT0008_31	B2	26	negative control	34
9662	LT0008_31	C15	63	negative control	49
9673	LT0008_31	D2	74	negative control	45
9903	LT0008_31	M16	304	negative control	34
9914	LT0008_31	N3	315	negative control	51
9951	LT0008_31	O16	352	negative control	48
9998	LT0009_05	A15	15	negative control	49
10009	LT0009_05	B2	26	negative control	58
10046	LT0009_05	C15	63	negative control	45
10057	LT0009_05	D2	74	negative control	40
10287	LT0009_05	M16	304	negative control	57
10298	LT0009_05	N3	315	negative control	32
10335	LT0009_05	O16	352	negative control	35
10382	LT0009_07	A15	15	negative control	41
10393	LT0009_07	B2	26	negative control	53
10430	LT0009_07	C15	63	negative control	42
10441	LT0009_07	D2	74	negative control	39
10671	LT0009_07	M16	304	negative control	42
10682	LT0009_07	N3	315	negative control	33
10719	LT0009_07	O16	352	negative control	50
10766	LT0009_14	A15	15	negative control	47
10777	LT0009_14	B2	26	negative control	31
10814	LT0009_14	C15	63	negative control	53
10825	LT0009_14	D2	74	negative control	31
11055	LT0009_14	M16	304	negative control	37
11066	LT0009_14	N3	315	negative control	50
11103	LT0009_14	O16	352	negative control	45
11150	LT0010_06	A15	15	negative control	41
11161	LT0010_06	B2	26	negative control	50
11198	LT0010_06	C15	63	negative control	55
11209	LT0010_06	D2	74	negative control	59
11439	LT0010_06	M16	304	negative control	39
11450	LT0010_06	N3	315	negative control	44
11487	LT0010_06	O16	352	negative control	61
11534	LT0010_26	A15	15	negative control	55
11545	LT0010_26	B2	26	negative control	60
11582	LT0010_26	C15	63	negative control	33
11593	LT0010_26	D2	74	negative control	34
11823	LT0010_26	M16	304	negative control	61
11834	LT0010_26	N3	315	negative control	33
11871	LT0010_26	O16	352	negative control	42
11918	LT0010_27	A15	15	negative control	44
11929	LT0010_27	B2	26	negative control	47
11966	LT0010_27	C15	63	negative control	39
11977	LT0010_27	D2	74	negative control	39
12207	LT0010_27	M16	304	negative control	50
12218	LT0010_27	N3	315	negative control	62
12255	LT0010_27	O16	352	negative control	39
12302	LT0011_07	A15	15	negative control	57
12313	LT0011_07	B2	26	negative control	33
12350	LT0011_07	C15	63	negative control	55
12361	LT0011_07	D2	74	negative control	51
12591	LT0011_07	M16	304	negative control	34
12602	LT0011_07	N3	315	negative control	43
12639	LT0011_07	O16	352	negative control	60
12686	LT0011_26	A15	15	negative control	45
12697	LT0011_26	B2	26	negative control	31
12734	LT0011_26	C15	63	negative control	35
12745	LT0011_26	D2	74	negative control	34
12975	LT0011_26	M16	304	negative control	44
12986	LT0011_26	N3	315	negative control	42
13023	LT0011_26	O16	352	negative control	59
13070	LT0011_30	A15	15	negative control	53
13081	LT0011_30	B2	26	negative control	44
13118	LT0011_30	C15	63	negative control	56
13129	LT0011_30	D2	74	negative control	44
13359	LT0011_30	M16	304	negative control	42
13370	LT0011_30	N3	315	negative control	55
13407	LT0011_30	O16	352	negative control	47
13454	LT0012_25	A15	15	negative control	55
13465	LT0012_25	B2	26	negative control	60
13502	LT0012_25	C15	63	negative control	52
13513	LT0012_25	D2	74	negative control	45
13743	LT0012_25	M16	304	negative control	56
13754	LT0012_25	N3	315	negative control	47
13791	LT0012_25	O16	352	negative control	59
13838	LT0012_27	A15	15	negative control	56
13849	LT0012_27	B2	26	negative control	53
13886	LT0012_27	C15	63	negative control	52
13897	LT0012_27	D2	74	negative control	60
14127	LT0012_27	M16	304	negative control	50
14138	LT0012_27	N3	315	negative control	32
14175	LT0012_27	O16	352	negative control	39
14222	LT0012_29	A15	15	negative control	31
14233	LT0012_29	B2	26	negative control	35
14270	LT0012_29	C15	63	negative control	58
14281	LT0012_29	D2	74	negative control	58
14511	LT0012_29	M16	304	negative control	56
14522	LT0012_29	N3	315	negative control	37
14559	LT0012_29	O16	352	negative control	52
14606	LT0013_11	A15	15	negative control	62
14617	LT0013_11	B2	26	negative control	44
14654	LT0013_11	C15	63	negative control	38
14665	LT0013_11	D2	74	negative control	55
14895	LT0013_11	M16	304	negative control	55
14906	LT0013_11	N3	315	negative control	46
14943	LT0013_11	O16	352	negative control	40
14990	LT0013_38	A15	15	negative control	49
15001	LT0013_38	B2	26	negative control	39
15038	LT0013_38	C15	63	negative control	53
15049	LT0013_38	D2	74	negative control	46
15279	LT0013_38	M16	304	negative control	42
15290	LT0013_38	N3	315	negative control	37
15327	LT0013_38	O16	352	negative control	46
15374	LT0013_42	A15	15	negative control	60
15385	LT0013_42	B2	26	negative control	56
15422	LT0013_42	C15	63	negative control	32
15433	LT0013_42	D2	74	negative control	62
15663	LT0013_42	M16	304	negative control	53
15674	LT0013_42	N3	315	negative control	43
15711	LT0013_42	O16	352	negative control	55
15758	LT0014_01	A15	15	negative control	60
15769	LT0014_01	B2	26	negative control	55
15806	LT0014_01	C15	63	negative control	34
15817	LT0014_01	D2	74	negative control	49
16047	LT0014_01	M16	304	negative control	46
