	Plate	Well	Well Number	Original Gene Target	Frames
37178	LT0029_01	N3	315	negative control	58
37215	LT0029_01	O16	352	negative control	43
37262	LT0029_05	A15	15	negative control	34
37273	LT0029_05	B2	26	negative control	37
37310	LT0029_05	C15	63	negative control	51
37321	LT0029_05	D2	74	negative control	38
37551	LT0029_05	M16	304	negative control	50
37562	LT0029_05	N3	315	negative control	62
37599	LT0029_05	O16	352	negative control	31
37646	LT0029_06	A15	15	negative control	36
37657	LT0029_06	B2	26	negative control	58
37694	LT0029_06	C15	63	negative control	42
37705	LT0029_06	D2	74	negative control	61
37935	LT0029_06	M16	304	negative control	40
37946	LT0029_06	N3	315	negative control	50
37983	LT0029_06	O16	352	negative control	38
38030	LT0030_03	A15	15	negative control	52
38041	LT0030_03	B2	26	negative control	36
38078	LT0030_03	C15	63	negative control	59
38089	LT0030_03	D2	74	negative control	39
38319	LT0030_03	M16	304	negative control	42
38330	LT0030_03	N3	315	negative control	45
38367	LT0030_03	O16	352	negative control	31
38414	LT0030_04	A15	15	negative control	39
38425	LT0030_04	B2	26	negative control	50
38462	LT0030_04	C15	63	negative control	37
38473	LT0030_04	D2	74	negative control	56
38703	LT0030_04	M16	304	negative control	41
38714	LT0030_04	N3	315	negative control	50
38751	LT0030_04	O16	352	negative control	33
38798	LT0030_17	A15	15	negative control	58
38809	LT0030_17	B2	26	negative control	54
38846	LT0030_17	C15	63	negative control	31
38857	LT0030_17	D2	74	negative control	50
39087	LT0030_17	M16	304	negative control	57
39098	LT0030_17	N3	315	negative control	45
39135	LT0030_17	O16	352	negative control	31
39182	LT0030_18	A15	15	negative control	50
39193	LT0030_18	B2	26	negative control	37
39230	LT0030_18	C15	63	negative control	32
39241	LT0030_18	D2	74	negative control	43
39471	LT0030_18	M16	304	negative control	58
39482	LT0030_18	N3	315	negative control	56
39519	LT0030_18	O16	352	negative control	49
39566	LT0031_02	A15	15	negative control	44
39577	LT0031_02	B2	26	negative control	40
39614	LT0031_02	C15	63	negative control	35
39625	LT0031_02	D2	74	negative control	56
39855	LT0031_02	M16	304	negative control	60
39866	LT0031_02	N3	315	negative control	58
39903	LT0031_02	O16	352	negative control	48
39950	LT0031_32	A15	15	negative control	34
39961	LT0031_32	B2	26	negative control	33
39998	LT0031_32	C15	63	negative control	51
40009	LT0031_32	D2	74	negative control	44
40239	LT0031_32	M16	304	negative control	56
40250	LT0031_32	N3	315	negative control	46
40287	LT0031_32	O16	352	negative control	54
40334	LT0031_50	A15	15	negative control	35
40345	LT0031_50	B2	26	negative control	40
40382	LT0031_50	C15	63	negative control	61
40393	LT0031_50	D2	74	negative control	35
40623	LT0031_50	M16	304	negative control	48
40634	LT0031_50	N3	315	negative control	49
40671	LT0031_50	O16	352	negative control	44
40718	LT0031_51	A15	15	negative control	61
40729	LT0031_51	B2	26	negative control	44
40766	LT0031_51	C15	63	negative control	54
40777	LT0031_51	D2	74	negative control	33
41007	LT0031_51	M16	304	negative control	34
41018	LT0031_51	N3	315	negative control	40
41055	LT0031_51	O16	352	negative control	57
41102	LT0032_01	A15	15	negative control	54
41113	LT0032_01	B2	26	negative control	57
41150	LT0032_01	C15	63	negative control	53
41161	LT0032_01	D2	74	negative control	53
41391	LT0032_01	M16	304	negative control	43
41402	LT0032_01	N3	315	negative control	46
41439	LT0032_01	O16	352	negative control	33
41486	LT0032_06	A15	15	negative control	57
41497	LT0032_06	B2	26	negative control	50
41534	LT0032_06	C15	63	negative control	37
41545	LT0032_06	D2	74	negative control	45
41775	LT0032_06	M16	304	negative control	47
41786	LT0032_06	N3	315	negative control	60
41823	LT0032_06	O16	352	negative control	59
41870	LT0032_14	A15	15	negative control	46
41881	LT0032_14	B2	26	negative control	57
41918	LT0032_14	C15	63	negative control	39
41929	LT0032_14	D2	74	negative control	31
42159	LT0032_14	M16	304	negative control	41
42170	LT0032_14	N3	315	negative control	42
42207	LT0032_14	O16	352	negative control	44
42254	LT0033_03	A15	15	negative control	38
42265	LT0033_03	B2	26	negative control	61
42302	LT0033_03	C15	63	negative control	37
42313	LT0033_03	D2	74	negative control	44
42543	LT0033_03	M16	304	negative control	52
42554	LT0033_03	N3	315	negative control	61
42591	LT0033_03	O16	352	negative control	46
42638	LT0033_11	A15	15	negative control	40
42649	LT0033_11	B2	26	negative control	37
42686	LT0033_11	C15	63	negative control	52
42697	LT0033_11	D2	74	negative control	42
42927	LT0033_11	M16	304	negative control	49
42938	LT0033_11	N3	315	negative control	38
42975	LT0033_11	O16	352	negative control	59
43022	LT0033_42	A15	15	negative control	32
43033	LT0033_42	B2	26	negative control	40
43070	LT0033_42	C15	63	negative control	33
43081	LT0033_42	D2	74	negative control	49
43311	LT0033_42	M16	304	negative control	59
43322	LT0033_42	N3	315	negative control	45
43359	LT0033_42	O16	352	negative control	36
43406	LT0034_01	A15	15	negative control	58
43417	LT0034_01	B2	26	negative control	53
43454	LT0034_01	C15	63	negative control	35
43465	LT0034_01	D2	74	negative control	62
43695	LT0034_01	M16	304	negative control	60
43706	LT0034_01	N3	315	negative control	49
43743	LT0034_01	O16	352	negative control	59
43790	LT0034_38	A15	15	negative control	45
43801	LT0034_38	B2	26	negative control	60
43838	LT0034_38	C15	63	negative control	49
43849	LT0034_38	D2	74	negative control	32
44079	LT0034_38	M16	304	negative control	43
44090	LT0034_38	N3	315	negative control	31
44127	LT0034_38	O16	352	negative control	40
44174	LT0034_41	A15	15	negative control	47
44185	LT0034_41	B2	26	negative control	33
44222	LT0034_41	C15	63	negative control	39
44233	LT0034_41	D2	74	negative control	50
44463	LT0034_41	M16	304	negative control	60
44474	LT0034_41	N3	315	negative control	41
44511	LT0034_41	O16	352	negative control	47
44558	LT0035_01	A15	15	negative control	57
44569	LT0035_01	B2	26	negative control	58
44606	LT0035_01	C15	63	negative control	55
44617	LT0035_01	D2	74	negative control	55
44847	LT0035_01	M16	304	negative control	32
44858	LT0035_01	N3	315	negative control	31
44895	LT0035_01	O16	352	negative control	36
44942	LT0035_06	A15	15	negative control	55
44953	LT0035_06	B2	26	negative control	33
44990	LT0035_06	C15	63	negative control	46
45001	LT0035_06	D2	74	negative control	34
45231	LT0035_06	M16	304	negative control	59
45242	LT0035_06	N3	315	negative control	45
45279	LT0035_06	O16	352	negative control	36
45326	LT0035_07	A15	15	negative control	42
45337	LT0035_07	B2	26	negative control	50
45374	LT0035_07	C15	63	negative control	55
45385	LT0035_07	D2	74	negative control	37
45615	LT0035_07	M16	304	negative control	51
45626	LT0035_07	N3	315	negative control	37
45663	LT0035_07	O16	352	negative control	59
45710	LT0035_10	A15	15	negative control	50
45721	LT0035_10	B2	26	negative control	37
45758	LT0035_10	C15	63	negative control	33
45769	LT0035_10	D2	74	negative control	59
45999	LT0035_10	M16	304	negative control	59
46010	LT0035_10	N3	315	negative control	37
46047	LT0035_10	O16	352	negative control	36
46094	LT0035_13	A15	15	negative control	58
46105	LT0035_13	B2	26	negative control	36
46142	LT0035_13	C15	63	negative control	44
46153	LT0035_13	D2	74	negative control	40
46383	LT0035_13	M16	304	negative control	35
46394	LT0035_13	N3	315	negative control	53
46431	LT0035_13	O16	352	negative control	44
46478	LT0035_47	A15	15	negative control	52
46489	LT0035_47	B2	26	negative control	58
46526	LT0035_47	C15	63	negative control	62
46537	LT0035_47	D2	74	negative control	48
46767	LT0035_47	M16	304	negative control	34
46778	LT0035_47	N3	315	negative control	44
46815	LT0035_47	O16	352	negative control	50
46873	LT0036_01	B2	26	negative control	57
46910	LT0036_01	C15	63	negative control	39
46921	LT0036_01	D2	74	negative control	61
47151	LT0036_01	M16	304	negative control	56
47162	LT0036_01	N3	315	negative control	52
47199	LT0036_01	O16	352	negative control	44
47246	LT0036_36	A15	15	negative control	36
47257	LT0036_36	B2	26	negative control	53
47294	LT0036_36	C15	63	negative control	47
47305	LT0036_36	D2	74	negative control	56
47535	LT0036_36	M16	304	negative control	45
47546	LT0036_36	N3	315	negative control	54
47583	LT0036_36	O16	352	negative control	36
47678	LT0036_52	C15	63	negative control	62
47689	LT0036_52	D2	74	negative control	32
47919	LT0036_52	M16	304	negative control	36
47930	LT0036_52	N3	315	negative control	37
47967	LT0036_52	O16	352	negative control	43
48014	LT0036_55	A15	15	negative control	57
48025	LT0036_55	B2	26	negative control	41
48062	LT0036_55	C15	63	negative control	58
48073	LT0036_55	D2	74	negative control	53
48303	LT0036_55	M16	304	negative control	45
48314	LT0036_55	N3	315	negative control	61
48351	LT0036_55	O16	352	negative control	39
48398	LT0037_41	A15	15	negative control	38
48409	LT0037_41	B2	26	negative control	44
48446	LT0037_41	C15	63	negative control	36
48457	LT0037_41	D2	74	negative control	46
48687	LT0037_41	M16	304	negative control	58
48698	LT0037_41	N3	315	negative control	41
48735	LT0037_41	O16	352	negative control	34
48782	LT0037_46	A15	15	negative control	41
48793	LT0037_46	B2	26	negative control	49
48830	LT0037_46	C15	63	negative control	56
48841	LT0037_46	D2	74	negative control	58
49071	LT0037_46	M16	304	negative control	56
49082	LT0037_46	N3	315	negative control	34
49119	LT0037_46	O16	352	negative control	60
49166	LT0037_51	A15	15	negative control	45
49177	LT0037_51	B2	26	negative control	49
49214	LT0037_51	C15	63	negative control	36
49225	LT0037_51	D2	74	negative control	57
49455	LT0037_51	M16	304	negative control	35
49466	LT0037_51	N3	315	negative control	48
49503	LT0037_51	O16	352	negative control	36
49550	LT0037_52	A15	15	negative control	62
49561	LT0037_52	B2	26	negative control	61
49598	LT0037_52	C15	63	negative control	55
49609	LT0037_52	D2	74	negative control	34
49839	LT0037_52	M16	304	negative control	36
49850	LT0037_52	N3	315	negative control	39
49887	LT0037_52	O16	352	negative control	35
49934	LT0038_01	A15	15	negative control	57
49945	LT0038_01	B2	26	negative control	48
49982	LT0038_01	C15	63	negative control	54
49993	LT0038_01	D2	74	negative control	55
50223	LT0038_01	M16	304	negative control	32
50234	LT0038_01	N3	315	negative control	49
50271	LT0038_01	O16	352	negative control	32
50318	LT0038_02	A15	15	negative control	45
50329	LT0038_02	B2	26	negative control	48
50366	LT0038_02	C15	63	negative control	38
50377	LT0038_02	D2	74	negative control	52
50607	LT0038_02	M16	304	negative control	42
50618	LT0038_02	N3	315	negative control	45
50655	LT0038_02	O16	352	negative control	47
50702	LT0038_08	A15	15	negative control	51
50713	LT0038_08	B2	26	negative control	62
50750	LT0038_08	C15	63	negative control	32
50761	LT0038_08	D2	74	negative control	48
50991	LT0038_08	M16	304	negative control	60
51002	LT0038_08	N3	315	negative control	43
51039	LT0038_08	O16	352	negative control	53
51086	LT0038_27	A15	15	negative control	45
51097	LT0038_27	B2	26	negative control	53
51134	LT0038_27	C15	63	negative control	31
51145	LT0038_27	D2	74	negative control	33
51375	LT0038_27	M16	304	negative control	50
51386	LT0038_27	N3	315	negative control	54
51423	LT0038_27	O16	352	negative control	59
51470	LT0039_02	A15	15	negative control	56
51481	LT0039_02	B2	26	negative control	45
51518	LT0039_02	C15	63	negative control	49
51529	LT0039_02	D2	74	negative control	42
51759	LT0039_02	M16	304	negative control	51
51770	LT0039_02	N3	315	negative control	40
51807	LT0039_02	O16	352	negative control	45
51854	LT0039_39	A15	15	negative control	31
51865	LT0039_39	B2	26	negative control	43
51902	LT0039_39	C15	63	negative control	53
51913	LT0039_39	D2	74	negative control	40
52143	LT0039_39	M16	304	negative control	49
52154	LT0039_39	N3	315	negative control	35
52191	LT0039_39	O16	352	negative control	38
52238	LT0039_45	A15	15	negative control	34
52249	LT0039_45	B2	26	negative control	47
52286	LT0039_45	C15	63	negative control	43
52297	LT0039_45	D2	74	negative control	36
52527	LT0039_45	M16	304	negative control	51
52538	LT0039_45	N3	315	negative control	44
52575	LT0039_45	O16	352	negative control	47
52622	LT0040_01	A15	15	negative control	44
52633	LT0040_01	B2	26	negative control	49
52670	LT0040_01	C15	63	negative control	50
52681	LT0040_01	D2	74	negative control	48
52911	LT0040_01	M16	304	negative control	38
52922	LT0040_01	N3	315	negative control	57
52959	LT0040_01	O16	352	negative control	48
53006	LT0040_42	A15	15	negative control	45
53017	LT0040_42	B2	26	negative control	60
53054	LT0040_42	C15	63	negative control	34
53065	LT0040_42	D2	74	negative control	41
53295	LT0040_42	M16	304	negative control	51
53306	LT0040_42	N3	315	negative control	41
53343	LT0040_42	O16	352	negative control	32
53390	LT0040_44	A15	15	negative control	54
53401	LT0040_44	B2	26	negative control	51
53438	LT0040_44	C15	63	negative control	47
53449	LT0040_44	D2	74	negative control	41
53679	LT0040_44	M16	304	negative control	49
53690	LT0040_44	N3	315	negative control	59
53727	LT0040_44	O16	352	negative control	57
53774	LT0041_03	A15	15	negative control	54
53785	LT0041_03	B2	26	negative control	51
53822	LT0041_03	C15	63	negative control	47
53833	LT0041_03	D2	74	negative control	33
54063	LT0041_03	M16	304	negative control	37
54074	LT0041_03	N3	315	negative control	40
54111	LT0041_03	O16	352	negative control	33
54158	LT0041_32	A15	15	negative control	51
54169	LT0041_32	B2	26	negative control	43
54206	LT0041_32	C15	63	negative control	40
54217	LT0041_32	D2	74	negative control	56
54447	LT0041_32	M16	304	negative control	59
54458	LT0041_32	N3	315	negative control	52
54495	LT0041_32	O16	352	negative control	35
54542	LT0041_35	A15	15	negative control	57
54553	LT0041_35	B2	26	negative control	35
54590	LT0041_35	C15	63	negative control	40
54601	LT0041_35	D2	74	negative control	41
54831	LT0041_35	M16	304	negative control	43
54842	LT0041_35	N3	315	negative control	39
54879	LT0041_35	O16	352	negative control	32
54926	LT0042_09	A15	15	negative control	36
54937	LT0042_09	B2	26	negative control	38
54974	LT0042_09	C15	63	negative control	31
54985	LT0042_09	D2	74	negative control	57
55215	LT0042_09	M16	304	negative control	32
55226	LT0042_09	N3	315	negative control	57
55263	LT0042_09	O16	352	negative control	34
55310	LT0042_10	A15	15	negative control	56
55321	LT0042_10	B2	26	negative control	49
55358	LT0042_10	C15	63	negative control	55
55369	LT0042_10	D2	74	negative control	49
55599	LT0042_10	M16	304	negative control	51
55610	LT0042_10	N3	315	negative control	61
55647	LT0042_10	O16	352	negative control	59
55694	LT0042_28	A15	15	negative control	39
55705	LT0042_28	B2	26	negative control	49
55742	LT0042_28	C15	63	negative control	56
55753	LT0042_28	D2	74	negative control	55
55983	LT0042_28	M16	304	negative control	38
55994	LT0042_28	N3	315	negative control	41
56031	LT0042_28	O16	352	negative control	58
56078	LT0043_01	A15	15	negative control	59
56089	LT0043_01	B2	26	negative control	55
56126	LT0043_01	C15	63	negative control	49
56137	LT0043_01	D2	74	negative control	34
56367	LT0043_01	M16	304	negative control	43
56378	LT0043_01	N3	315	negative control	50
56415	LT0043_01	O16	352	negative control	44
56462	LT0043_11	A15	15	negative control	53
56473	LT0043_11	B2	26	negative control	31
56510	LT0043_11	C15	63	negative control	41
56521	LT0043_11	D2	74	negative control	34
56762	LT0043_11	N3	315	negative control	37
56799	LT0043_11	O16	352	negative control	58
56846	LT0043_48	A15	15	negative control	34
56857	LT0043_48	B2	26	negative control	56
56905	LT0043_48	D2	74	negative control	37
57135	LT0043_48	M16	304	negative control	50
57146	LT0043_48	N3	315	negative control	33
57183	LT0043_48	O16	352	negative control	49
57230	LT0044_02	A15	15	negative control	49
57241	LT0044_02	B2	26	negative control	37
57278	LT0044_02	C15	63	negative control	51
57289	LT0044_02	D2	74	negative control	42
57519	LT0044_02	M16	304	negative control	53
57530	LT0044_02	N3	315	negative control	31
57567	LT0044_02	O16	352	negative control	35
57614	LT0044_16	A15	15	negative control	44
57625	LT0044_16	B2	26	negative control	40
57662	LT0044_16	C15	63	negative control	33
57673	LT0044_16	D2	74	negative control	32
57903	LT0044_16	M16	304	negative control	43
57914	LT0044_16	N3	315	negative control	46
57951	LT0044_16	O16	352	negative control	53
57998	LT0044_36	A15	15	negative control	32
58009	LT0044_36	B2	26	negative control	54
58046	LT0044_36	C15	63	negative control	43
58057	LT0044_36	D2	74	negative control	36
58287	LT0044_36	M16	304	negative control	37
58298	LT0044_36	N3	315	negative control	32
58335	LT0044_36	O16	352	negative control	41
58382	LT0045_10	A15	15	negative control	37
58393	LT0045_10	B2	26	negative control	60
58430	LT0045_10	C15	63	negative control	37
58441	LT0045_10	D2	74	negative control	37
58671	LT0045_10	M16	304	negative control	37
58682	LT0045_10	N3	315	negative control	42
58719	LT0045_10	O16	352	negative control	49
58766	LT0045_12	A15	15	negative control	52
58777	LT0045_12	B2	26	negative control	61
58814	LT0045_12	C15	63	negative control	49
58825	LT0045_12	D2	74	negative control	49
59055	LT0045_12	M16	304	negative control	50
59066	LT0045_12	N3	315	negative control	33
59150	LT0045_19	A15	15	negative control	43
59161	LT0045_19	B2	26	negative control	60
59198	LT0045_19	C15	63	negative control	40
59209	LT0045_19	D2	74	negative control	50
59439	LT0045_19	M16	304	negative control	39
59450	LT0045_19	N3	315	negative control	36
59487	LT0045_19	O16	352	negative control	51
59534	LT0046_03	A15	15	negative control	52
59545	LT0046_03	B2	26	negative control	42
59582	LT0046_03	C15	63	negative control	32
59593	LT0046_03	D2	74	negative control	42
59823	LT0046_03	M16	304	negative control	46
59834	LT0046_03	N3	315	negative control	61
59871	LT0046_03	O16	352	negative control	43
59918	LT0046_19	A15	15	negative control	46
59929	LT0046_19	B2	26	negative control	43
59966	LT0046_19	C15	63	negative control	52
59977	LT0046_19	D2	74	negative control	55
60207	LT0046_19	M16	304	negative control	49
60218	LT0046_19	N3	315	negative control	56
60255	LT0046_19	O16	352	negative control	44
60302	LT0046_35	A15	15	negative control	61
60313	LT0046_35	B2	26	negative control	59
60350	LT0046_35	C15	63	negative control	43
60361	LT0046_35	D2	74	negative control	40
60591	LT0046_35	M16	304	negative control	52
60602	LT0046_35	N3	315	negative control	37
60639	LT0046_35	O16	352	negative control	35
60686	LT0047_03	A15	15	negative control	47
60697	LT0047_03	B2	26	negative control	39
60734	LT0047_03	C15	63	negative control	57
60745	LT0047_03	D2	74	negative control	61
60975	LT0047_03	M16	304	negative control	36
60986	LT0047_03	N3	315	negative control	46
61023	LT0047_03	O16	352	negative control	62
61070	LT0047_25	A15	15	negative control	36
61081	LT0047_25	B2	26	negative control	36
61118	LT0047_25	C15	63	negative control	58
61129	LT0047_25	D2	74	negative control	48
61359	LT0047_25	M16	304	negative control	62
61370	LT0047_25	N3	315	negative control	31
61407	LT0047_25	O16	352	negative control	47
61454	LT0047_27	A15	15	negative control	47
61465	LT0047_27	B2	26	negative control	31
61502	LT0047_27	C15	63	negative control	61
61513	LT0047_27	D2	74	negative control	41
61743	LT0047_27	M16	304	negative control	43
61754	LT0047_27	N3	315	negative control	60
61791	LT0047_27	O16	352	negative control	31
61838	LT0048_03	A15	15	negative control	60
61849	LT0048_03	B2	26	negative control	57
61886	LT0048_03	C15	63	negative control	38
61897	LT0048_03	D2	74	negative control	53
62127	LT0048_03	M16	304	negative control	50
62138	LT0048_03	N3	315	negative control	36
62175	LT0048_03	O16	352	negative control	35
62222	LT0048_13	A15	15	negative control	50
62233	LT0048_13	B2	26	negative control	62
62270	LT0048_13	C15	63	negative control	35
62281	LT0048_13	D2	74	negative control	36
62511	LT0048_13	M16	304	negative control	59
62522	LT0048_13	N3	315	negative control	43
62559	LT0048_13	O16	352	negative control	57
62606	LT0048_14	A15	15	negative control	48
62617	LT0048_14	B2	26	negative control	50
62654	LT0048_14	C15	63	negative control	43
62665	LT0048_14	D2	74	negative control	37
62895	LT0048_14	M16	304	negative control	38
62906	LT0048_14	N3	315	negative control	51
62943	LT0048_14	O16	352	negative control	47
62990	LT0049_02	A15	15	negative control	60
63001	LT0049_02	B2	26	negative control	31
63038	LT0049_02	C15	63	negative control	54
63049	LT0049_02	D2	74	negative control	46
63279	LT0049_02	M16	304	negative control	41
63290	LT0049_02	N3	315	negative control	59
63327	LT0049_02	O16	352	negative control	34
63374	LT0049_42	A15	15	negative control	60
63385	LT0049_42	B2	26	negative control	34
63422	LT0049_42	C15	63	negative control	47
63433	LT0049_42	D2	74	negative control	47
63663	LT0049_42	M16	304	negative control	40
63674	LT0049_42	N3	315	negative control	51
63711	LT0049_42	O16	352	negative control	51
63758	LT0049_44	A15	15	negative control	36
63769	LT0049_44	B2	26	negative control	62
63806	LT0049_44	C15	63	negative control	55
63817	LT0049_44	D2	74	negative control	61
64047	LT0049_44	M16	304	negative control	55
64058	LT0049_44	N3	315	negative control	47
64095	LT0049_44	O16	352	negative control	48
64142	LT0060_17	A15	15	negative control	52
64153	LT0060_17	B2	26	negative control	56
64190	LT0060_17	C15	63	negative control	40
64201	LT0060_17	D2	74	negative control	43
64431	LT0060_17	M16	304	negative control	61
64442	LT0060_17	N3	315	negative control	46
64479	LT0060_17	O16	352	negative control	37
64490	LT0060_17	P3	363	negative control	45
64526	LT0060_31	A15	15	negative control	32
64537	LT0060_31	B2	26	negative control	35
64574	LT0060_31	C15	63	negative control	47
64585	LT0060_31	D2	74	negative control	35
64815	LT0060_31	M16	304	negative control	38
64826	LT0060_31	N3	315	negative control	61
64863	LT0060_31	O16	352	negative control	54
64874	LT0060_31	P3	363	negative control	58
64910	LT0060_51	A15	15	negative control	45
64921	LT0060_51	B2	26	negative control	38
64958	LT0060_51	C15	63	negative control	60
64969	LT0060_51	D2	74	negative control	53
65199	LT0060_51	M16	304	negative control	33
65210	LT0060_51	N3	315	negative control	61
65247	LT0060_51	O16	352	negative control	53
65258	LT0060_51	P3	363	negative control	47
65294	LT0060_52	A15	15	negative control	58
65305	LT0060_52	B2	26	negative control	46
65342	LT0060_52	C15	63	negative control	46
65353	LT0060_52	D2	74	negative control	49
65583	LT0060_52	M16	304	negative control	42
65594	LT0060_52	N3	315	negative control	54
65631	LT0060_52	O16	352	negative control	45
65642	LT0060_52	P3	363	negative control	38
65678	LT0061_02	A15	15	negative control	61
65689	LT0061_02	B2	26	negative control	57
65726	LT0061_02	C15	63	negative control	33
65737	LT0061_02	D2	74	negative control	53
65978	LT0061_02	N3	315	negative control	48
66015	LT0061_02	O16	352	negative control	34
66026	LT0061_02	P3	363	negative control	38
66062	LT0061_03	A15	15	negative control	44
66073	LT0061_03	B2	26	negative control	58
66110	LT0061_03	C15	63	negative control	47
66121	LT0061_03	D2	74	negative control	36
66351	LT0061_03	M16	304	negative control	35
66362	LT0061_03	N3	315	negative control	52
66399	LT0061_03	O16	352	negative control	44
66410	LT0061_03	P3	363	negative control	36
66446	LT0061_05	A15	15	negative control	50
66457	LT0061_05	B2	26	negative control	42
66494	LT0061_05	C15	63	negative control	39
66505	LT0061_05	D2	74	negative control	31
66735	LT0061_05	M16	304	negative control	48
66746	LT0061_05	N3	315	negative control	36
66783	LT0061_05	O16	352	negative control	59
66794	LT0061_05	P3	363	negative control	35
66830	LT0062_07	A15	15	negative control	32
66841	LT0062_07	B2	26	negative control	60
66878	LT0062_07	C15	63	negative control	60
66889	LT0062_07	D2	74	negative control	36
67119	LT0062_07	M16	304	negative control	47
67130	LT0062_07	N3	315	negative control	37
67167	LT0062_07	O16	352	negative control	55
67178	LT0062_07	P3	363	negative control	39
67214	LT0062_30	A15	15	negative control	53
67225	LT0062_30	B2	26	negative control	61
67262	LT0062_30	C15	63	negative control	62
67273	LT0062_30	D2	74	negative control	50
67503	LT0062_30	M16	304	negative control	35
67514	LT0062_30	N3	315	negative control	51
67551	LT0062_30	O16	352	negative control	41
67562	LT0062_30	P3	363	negative control	41
67598	LT0062_46	A15	15	negative control	58
67609	LT0062_46	B2	26	negative control	34
67646	LT0062_46	C15	63	negative control	53
67657	LT0062_46	D2	74	negative control	59
67887	LT0062_46	M16	304	negative control	36
67898	LT0062_46	N3	315	negative control	57
67935	LT0062_46	O16	352	negative control	60
67946	LT0062_46	P3	363	negative control	40
67982	LT0063_01	A15	15	negative control	39
67993	LT0063_01	B2	26	negative control	59
68030	LT0063_01	C15	63	negative control	48
68041	LT0063_01	D2	74	negative control	50
68271	LT0063_01	M16	304	negative control	39
68282	LT0063_01	N3	315	negative control	58
68319	LT0063_01	O16	352	negative control	41
68330	LT0063_01	P3	363	negative control	61
68366	LT0063_16	A15	15	negative control	60
68377	LT0063_16	B2	26	negative control	32
68414	LT0063_16	C15	63	negative control	61
68425	LT0063_16	D2	74	negative control	45
68655	LT0063_16	M16	304	negative control	36
68666	LT0063_16	N3	315	negative control	61
68703	LT0063_16	O16	352	negative control	55
68714	LT0063_16	P3	363	negative control	47
68750	LT0063_17	A15	15	negative control	34
68761	LT0063_17	B2	26	negative control	38
68798	LT0063_17	C15	63	negative control	60
68809	LT0063_17	D2	74	negative control	59
69039	LT0063_17	M16	304	negative control	32
69050	LT0063_17	N3	315	negative control	54
69087	LT0063_17	O16	352	negative control	39
69098	LT0063_17	P3	363	negative control	31
69134	LT0064_01	A15	15	negative control	54
69145	LT0064_01	B2	26	negative control	36
69182	LT0064_01	C15	63	negative control	46
69193	LT0064_01	D2	74	negative control	62
69423	LT0064_01	M16	304	negative control	57
69434	LT0064_01	N3	315	negative control	56
69471	LT0064_01	O16	352	negative control	56
69482	LT0064_01	P3	363	negative control	37
69518	LT0064_02	A15	15	negative control	55
69529	LT0064_02	B2	26	negative control	54
69566	LT0064_02	C15	63	negative control	46
69577	LT0064_02	D2	74	negative control	36
69807	LT0064_02	M16	304	negative control	40
69818	LT0064_02	N3	315	negative control	48
69855	LT0064_02	O16	352	negative control	47
69866	LT0064_02	P3	363	negative control	47
69902	LT0064_14	A15	15	negative control	42
69913	LT0064_14	B2	26	negative control	45
69950	LT0064_14	C15	63	negative control	36
69961	LT0064_14	D2	74	negative control	53
70191	LT0064_14	M16	304	negative control	50
70202	LT0064_14	N3	315	negative control	46
70239	LT0064_14	O16	352	negative control	53
70250	LT0064_14	P3	363	negative control	44
70286	LT0064_18	A15	15	negative control	42
70297	LT0064_18	B2	26	negative control	42
70334	LT0064_18	C15	63	negative control	32
70345	LT0064_18	D2	74	negative control	38
70575	LT0064_18	M16	304	negative control	54
70586	LT0064_18	N3	315	negative control	57
70623	LT0064_18	O16	352	negative control	47
70634	LT0064_18	P3	363	negative control	38
70670	LT0064_25	A15	15	negative control	46
70681	LT0064_25	B2	26	negative control	53
70718	LT0064_25	C15	63	negative control	31
70729	LT0064_25	D2	74	negative control	35
70959	LT0064_25	M16	304	negative control	49
70970	LT0064_25	N3	315	negative control	54
71007	LT0064_25	O16	352	negative control	52
71018	LT0064_25	P3	363	negative control	61
71054	LT0065_04	A15	15	negative control	33
71065	LT0065_04	B2	26	negative control	39
71102	LT0065_04	C15	63	negative control	41
71113	LT0065_04	D2	74	negative control	36
71343	LT0065_04	M16	304	negative control	37
71354	LT0065_04	N3	315	negative control	37
71391	LT0065_04	O16	352	negative control	35
71402	LT0065_04	P3	363	negative control	32
71438	LT0065_05	A15	15	negative control	52
71449	LT0065_05	B2	26	negative control	58
71486	LT0065_05	C15	63	negative control	35
71497	LT0065_05	D2	74	negative control	36
71727	LT0065_05	M16	304	negative control	36
71738	LT0065_05	N3	315	negative control	37
71775	LT0065_05	O16	352	negative control	34
71786	LT0065_05	P3	363	negative control	55
71822	LT0065_06	A15	15	negative control	48
71833	LT0065_06	B2	26	negative control	46
71870	LT0065_06	C15	63	negative control	51
71881	LT0065_06	D2	74	negative control	49
72111	LT0065_06	M16	304	negative control	40
72122	LT0065_06	N3	315	negative control	54
72159	LT0065_06	O16	352	negative control	35
72170	LT0065_06	P3	363	negative control	48
72206	LT0066_02	A15	15	negative control	55
72217	LT0066_02	B2	26	negative control	61
72254	LT0066_02	C15	63	negative control	33
72265	LT0066_02	D2	74	negative control	50
72495	LT0066_02	M16	304	negative control	34
72506	LT0066_02	N3	315	negative control	44
72543	LT0066_02	O16	352	negative control	42
72554	LT0066_02	P3	363	negative control	44
72590	LT0066_19	A15	15	negative control	35
72601	LT0066_19	B2	26	negative control	48
72638	LT0066_19	C15	63	negative control	57
72649	LT0066_19	D2	74	negative control	37
