	ImageNumber	ObjectNumber	Location_Center_X	Location_Center_Y	Location_Center_Z	Mitocheck_Object_ID
0	1	1	290.65	84.1	0	14
1	1	2	295.7323943661972	102.54929577464789	0	14
2	1	3	303.7	115.01666666666667	0	14
3	1	4	292.22222222222223	127.08888888888889	0	14
4	1	5	393.8777777777778	252.8111111111111	0	61
5	1	6	98.94736842105263	261.86315789473684	0	65
6	1	7	122.13924050632912	264.8987341772152	0	65
7	1	8	405.01176470588234	280.43529411764706	0	61
8	1	9	138.41095890410958	279.5753424657534	0	65
9	1	10	343.12345679012344	281.58024691358025	0	71
10	1	11	328.3292682926829	304.5731707317073	0	71
11	1	12	157.57142857142858	336.6142857142857	0	87
12	1	13	344.7047619047619	357.95238095238096	0	91
13	1	14	367.5833333333333	356.81944444444446	0	91
14	1	15	392.3875	362.25	0	91
15	1	16	154.5742574257426	497.3168316831683	0	133
16	1	17	193.19298245614036	563.4561403508771	0	154
17	1	18	215.51785714285714	581.0535714285714	0	160
18	1	19	876.8860759493671	591.3417721518987	0	161
19	1	20	900.7283950617284	592.8148148148148	0	161
20	1	21	269.8103448275862	602.8965517241379	0	165
21	1	22	902.4428571428572	611.2142857142857	0	161
22	1	23	325.94666666666666	624.2133333333334	0	174
23	1	24	330.67469879518075	645.0	0	174
24	1	25	799.2280701754386	661.421052631579	0	186
25	1	26	332.85057471264366	669.6896551724138	0	174
26	1	27	997.1621621621622	675.4864864864865	0	192
27	1	28	976.8405797101449	685.9420289855072	0	192
28	1	29	332.9	684.425	0	174
29	1	30	988.8552631578947	710.1973684210526	0	208
30	1	31	967.1234567901234	726.3703703703703	0	208
31	1	32	486.9516129032258	770.016129032258	0	239
32	1	33	1196.0923076923077	817.6923076923077	0	264
33	1	34	1196.4107142857142	837.0535714285714	0	264
34	1	35	1182.9107142857142	847.0178571428571	0	264
35	1	36	69.30588235294118	854.0588235294117	0	283
36	1	37	42.47126436781609	864.3103448275862	0	283
37	1	38	36.5632183908046	889.551724137931	0	283
38	1	39	852.5813953488372	936.3720930232558	0	317
39	1	40	838.5113636363636	961.7045454545455	0	317
40	1	41	521.8987341772151	968.5189873417721	0	334
41	1	42	365.56756756756755	968.6081081081081	0	336
42	1	43	529.1604938271605	994.679012345679	0	334
