	ImageNumber	ObjectNumber	Location_Center_X	Location_Center_Y	Location_Center_Z	Mitocheck_Object_ID
0	1	1	731.6341463414634	386.6463414634146	0	143
1	1	2	764.0493827160494	388.85185185185185	0	143
2	1	3	755.655737704918	400.78688524590166	0	143
3	1	4	743.468085106383	400.6808510638298	0	143
4	1	5	966.3232323232323	498.32323232323233	0	185
5	1	6	618.8444444444444	689.7555555555556	0	286
6	1	7	601.578947368421	681.6052631578947	0	286
7	1	8	587.0505050505051	698.6666666666666	0	286
8	1	9	119.44444444444444	713.5333333333333	0	292
9	1	10	143.46969696969697	706.530303030303	0	292
10	1	11	609.6296296296297	712.7901234567901	0	286
11	1	12	153.17708333333334	726.6875	0	292
12	1	13	789.0412371134021	749.6288659793814	0	307
13	1	14	812.2261904761905	751.0833333333334	0	307
14	1	15	829.2328767123288	751.3013698630137	0	307
15	1	16	763.4819277108434	751.433734939759	0	307
