	ImageNumber	ObjectNumber	Location_Center_X	Location_Center_Y	Location_Center_Z	Mitocheck_Object_ID
0	1	1	682.3058823529411	222.43529411764706	0	17
1	1	2	624.5673076923077	435.71153846153845	0	43
2	1	3	637.6862745098039	498.2156862745098	0	50
3	1	4	899.9659090909091	521.1363636363636	0	55
4	1	5	844.0602409638554	528.0722891566265	0	57
5	1	6	643.1953125	671.6015625	0	74
6	1	7	620.8585858585859	698.1414141414141	0	74
7	1	8	181.5677966101695	844.2033898305085	0	97
8	1	9	1138.6915887850466	919.981308411215	0	102
