	ImageNumber	ObjectNumber	Location_Center_X	Location_Center_Y	Location_Center_Z	Mitocheck_Object_ID
0	1	1	264.11224489795916	164.48979591836735	0	23
1	1	2	943.4861111111111	171.54166666666666	0	26
2	1	3	771.2555555555556	232.33333333333334	0	33
3	1	4	1207.0813953488373	300.09302325581393	0	43
4	1	5	32.68421052631579	314.2842105263158	0	45
5	1	6	1132.2637362637363	335.02197802197804	0	47
6	1	7	1260.4476190476191	348.87619047619046	0	48
7	1	8	745.5487804878048	383.5121951219512	0	53
8	1	9	367.890243902439	400.5975609756098	0	54
9	1	10	164.79761904761904	422.01190476190476	0	57
10	1	11	296.4096385542169	474.12048192771084	0	65
11	1	12	790.4767441860465	501.77906976744185	0	74
12	1	13	910.7073170731708	522.3170731707318	0	78
13	1	14	1242.0641025641025	566.0641025641025	0	86
14	1	15	811.5434782608696	581.2826086956521	0	89
15	1	16	1235.6567164179105	591.8059701492538	0	86
16	1	17	777.6309523809524	620.0595238095239	0	103
17	1	18	343.9811320754717	638.9905660377359	0	107
18	1	19	725.4468085106383	688.7021276595744	0	112
19	1	20	613.5058823529412	745.4470588235295	0	114
20	1	21	718.6179775280899	781.629213483146	0	116
21	1	22	241.09708737864077	799.5728155339806	0	119
22	1	23	283.3738317757009	821.1588785046729	0	122
23	1	24	418.01020408163265	875.204081632653	0	131
24	1	25	255.27710843373495	902.843373493976	0	136
25	1	26	595.075	900.875	0	138
26	1	27	405.1506849315069	907.1917808219179	0	140
27	1	28	1282.7179487179487	926.6025641025641	0	148
28	1	29	498.0	933.1084337349398	0	152
29	1	30	275.9080459770115	936.9310344827586	0	153
30	1	31	486.74074074074076	968.3086419753087	0	159
