	ImageNumber	ObjectNumber	Location_Center_X	Location_Center_Y	Location_Center_Z	Mitocheck_Object_ID
0	1	1	846.7032967032967	182.4065934065934	0	35
1	1	2	879.3369565217391	184.45652173913044	0	35
2	1	3	860.1014492753624	204.44927536231884	0	35
3	1	4	879.4470588235295	215.78823529411764	0	35
4	1	5	240.5873015873016	247.53968253968253	0	44
5	1	6	959.1095890410959	278.3424657534247	0	47
6	1	7	980.1981132075472	287.60377358490564	0	47
7	1	8	828.2783505154639	287.49484536082474	0	48
8	1	9	792.4375	287.0625	0	48
9	1	10	955.4230769230769	300.0128205128205	0	47
10	1	11	897.8586956521739	308.7717391304348	0	47
11	1	12	809.7027027027027	300.0	0	48
12	1	13	956.6865671641791	318.2985074626866	0	47
13	1	14	940.5056179775281	328.5280898876405	0	47
14	1	15	920.283950617284	347.7283950617284	0	47
15	1	16	947.08	346.56	0	47
16	1	17	912.9708737864078	367.9611650485437	0	47
17	1	18	810.0422535211268	372.67605633802816	0	56
18	1	19	790.5797101449275	383.9855072463768	0	56
19	1	20	272.63513513513516	392.3918918918919	0	60
20	1	21	814.5714285714286	396.3095238095238	0	56
21	1	22	793.7702702702703	405.7432432432432	0	56
22	1	23	283.7866666666667	416.04	0	60
23	1	24	265.41975308641975	428.1358024691358	0	60
24	1	25	269.1411764705882	456.05882352941177	0	60
25	1	26	822.7258064516129	493.2096774193548	0	82
26	1	27	305.9047619047619	550.7142857142857	0	89
27	1	28	280.55	547.975	0	92
28	1	29	238.33783783783784	555.0	0	92
29	1	30	751.516129032258	558.3548387096774	0	93
30	1	31	255.40625	578.9895833333334	0	92
31	1	32	790.629213483146	576.4269662921348	0	93
32	1	33	760.5384615384615	590.5384615384615	0	93
33	1	34	193.10638297872342	609.8936170212766	0	98
34	1	35	232.30864197530863	622.8148148148148	0	98
35	1	36	177.83076923076922	623.4615384615385	0	98
36	1	37	254.28735632183907	636.4827586206897	0	98
37	1	38	192.734375	631.109375	0	98
38	1	39	228.89473684210526	643.7894736842105	0	98
39	1	40	208.33333333333334	646.7179487179487	0	98
40	1	41	184.6949152542373	641.728813559322	0	98
41	1	42	752.0	671.0681818181819	0	102
42	1	43	726.5684210526316	677.0736842105263	0	102
43	1	44	750.1298701298701	703.0649350649351	0	102
44	1	45	731.8243243243244	705.8648648648649	0	102
45	1	46	830.5794392523364	789.9158878504672	0	114
46	1	47	845.4333333333333	808.2	0	114
47	1	48	825.609756097561	811.7317073170732	0	114
48	1	49	867.6410256410256	821.2948717948718	0	114
49	1	50	841.6511627906976	825.3139534883721	0	114
50	1	51	1006.0266666666666	875.6666666666666	0	123
51	1	52	980.4842105263158	887.3263157894737	0	123
52	1	53	996.8673469387755	904.3367346938776	0	123
53	1	54	944.4634146341464	908.0243902439024	0	123
54	1	55	968.3037974683544	915.7974683544304	0	123
