	ImageNumber	ObjectNumber	Location_Center_X	Location_Center_Y	Location_Center_Z	Mitocheck_Object_ID
0	1	1	882.3898305084746	69.10169491525424	0	9
1	1	2	396.33870967741933	85.86290322580645	0	11
2	1	3	404.29464285714283	112.30357142857143	0	11
3	1	4	688.7391304347826	184.5108695652174	0	28
4	1	5	677.3521126760563	220.59154929577466	0	34
5	1	6	1140.394366197183	379.056338028169	0	52
6	1	7	376.3157894736842	430.88421052631577	0	62
7	1	8	910.2833333333333	443.3	0	67
8	1	9	332.0	445.6808510638298	0	68
9	1	10	978.939024390244	477.8048780487805	0	69
10	1	11	564.3035714285714	524.1339285714286	0	70
11	1	12	1057.7171717171718	564.6464646464647	0	73
12	1	13	1041.5595238095239	603.8333333333334	0	84
13	1	14	416.76785714285717	618.6785714285714	0	92
14	1	15	993.65625	637.1354166666666	0	93
15	1	16	386.71875	666.140625	0	104
16	1	17	486.58415841584156	683.5247524752475	0	105
17	1	18	472.13483146067415	691.7752808988764	0	105
18	1	19	563.0434782608696	750.1847826086956	0	115
19	1	20	536.4	762.6941176470589	0	115
