	ImageNumber	ObjectNumber	Location_Center_X	Location_Center_Y	Location_Center_Z	Mitocheck_Object_ID
0	1	1	348.1617647058824	93.48529411764706	0	11
1	1	2	235.65333333333334	98.24	0	10
2	1	3	226.53947368421052	120.28947368421052	0	10
3	1	4	368.22857142857146	152.42857142857142	0	21
4	1	5	394.4657534246575	171.8904109589041	0	24
5	1	6	221.20289855072463	189.82608695652175	0	28
6	1	7	210.64285714285714	203.17857142857142	0	28
7	1	8	196.78125	200.8125	0	28
8	1	9	990.1973684210526	210.21052631578948	0	32
9	1	10	1210.9270833333333	296.6770833333333	0	41
10	1	11	1053.857142857143	292.57142857142856	0	40
11	1	12	631.7948717948718	506.52564102564105	0	62
12	1	13	643.1805555555555	520.5694444444445	0	62
13	1	14	633.5	538.5243902439024	0	62
14	1	15	257.65656565656565	577.0808080808081	0	79
15	1	16	656.5384615384615	613.5128205128206	0	84
16	1	17	478.46875	645.90625	0	88
17	1	18	650.6296296296297	636.1851851851852	0	84
18	1	19	18.604395604395606	646.7912087912088	0	92
19	1	20	1258.923076923077	686.1648351648352	0	99
20	1	21	1017.0394736842105	741.2763157894736	0	109
21	1	22	1232.623287671233	760.8013698630137	0	111
22	1	23	307.1904761904762	766.6666666666666	0	115
23	1	24	462.4428571428571	837.1428571428571	0	124
24	1	25	507.14666666666665	843.4933333333333	0	125
25	1	26	355.1304347826087	855.3623188405797	0	127
26	1	27	257.48	903.8133333333334	0	141
27	1	28	216.86153846153846	961.9384615384615	0	155
