	ImageNumber	ObjectNumber	Location_Center_X	Location_Center_Y	Location_Center_Z	Mitocheck_Object_ID
0	1	1	212.20408163265307	87.24489795918367	0	15
1	1	2	224.44329896907217	101.51546391752578	0	15
2	1	3	200.22105263157894	116.37894736842105	0	15
3	1	4	228.19767441860466	413.1744186046512	0	76
4	1	5	253.4747474747475	422.74747474747477	0	76
5	1	6	206.74242424242425	424.24242424242425	0	76
6	1	7	210.75555555555556	439.6111111111111	0	76
7	1	8	236.75438596491227	446.03508771929825	0	76
8	1	9	221.1304347826087	451.7826086956522	0	76
9	1	10	256.3301886792453	841.0566037735849	0	157
10	1	11	273.4767441860465	861.1162790697674	0	157
11	1	12	212.9891304347826	880.9891304347826	0	166
12	1	13	238.67469879518072	894.6385542168674	0	166
13	1	14	222.19642857142858	906.4285714285714	0	166
14	1	15	269.4125	934.725	0	177
15	1	16	240.42028985507247	941.1449275362319	0	177
16	1	17	250.50819672131146	951.9344262295082	0	177
17	1	18	276.0121951219512	960.4878048780488	0	177
18	1	19	258.36486486486484	972.5135135135135	0	177
