	ImageNumber	ObjectNumber	Location_Center_X	Location_Center_Y	Location_Center_Z	Mitocheck_Object_ID
0	1	1	479.77464788732397	374.5774647887324	0	56
1	1	2	576.0	447.7625	0	67
2	1	3	376.36842105263156	451.7368421052632	0	68
3	1	4	490.64285714285717	487.4166666666667	0	82
4	1	5	537.8358208955224	506.5074626865672	0	89
5	1	6	439.5833333333333	514.1111111111111	0	91
6	1	7	512.9673913043479	571.4673913043479	0	104
7	1	8	537.6	651.1714285714286	0	148
8	1	9	471.2597402597403	663.987012987013	0	150
9	1	10	466.67605633802816	887.7042253521126	0	214
10	1	11	264.4871794871795	905.0512820512821	0	219
11	1	12	279.3888888888889	915.3333333333334	0	219
12	1	13	602.2058823529412	998.6911764705883	0	238
