	ImageNumber	ObjectNumber	Location_Center_X	Location_Center_Y	Location_Center_Z	Mitocheck_Object_ID
0	1	1	931.3368421052631	17.357894736842105	0	2
1	1	2	874.7303370786517	96.47191011235955	0	23
2	1	3	802.4655172413793	104.51724137931035	0	29
3	1	4	787.3116883116883	129.05194805194805	0	29
4	1	5	434.6111111111111	176.0648148148148	0	50
5	1	6	402.41052631578947	180.44210526315788	0	50
6	1	7	966.8229166666666	227.58333333333334	0	58
7	1	8	158.21978021978023	476.5164835164835	0	98
8	1	9	314.36046511627904	514.2093023255813	0	106
9	1	10	1046.7209302325582	588.5348837209302	0	131
10	1	11	547.6190476190476	596.9285714285714	0	134
11	1	12	778.3837209302326	653.7674418604652	0	147
12	1	13	1231.9466666666667	882.1466666666666	0	212
13	1	14	1205.958762886598	890.1340206185567	0	212
14	1	15	1231.148514851485	908.7326732673267	0	212
