	ImageNumber	ObjectNumber	Location_Center_X	Location_Center_Y	Location_Center_Z	Mitocheck_Object_ID
0	1	1	549.125	82.28125	0	9.0
1	1	2	171.8448275862069	285.0689655172414	0	23.0
2	1	3	209.58928571428572	300.17857142857144	0	26.0
3	1	4	853.9638554216867	323.0843373493976	0	28.0
4	1	5	815.8842105263158	410.2631578947368	0	38.0
5	1	6	918.2166666666667	516.0666666666667	0	47.0
6	1	7	1310.9298245614036	530.5087719298245	0	50.0
7	1	8	934.2586206896551	557.8448275862069	0	53.0
8	1	9	916.0172413793103	582.9827586206897	0	56.0
9	1	10	876.1904761904761	622.7301587301587	0	62.0
10	1	11	948.6716417910447	643.4477611940298	0	65.0
