	ImageNumber	ObjectNumber	Location_Center_X	Location_Center_Y	Location_Center_Z	Mitocheck_Object_ID
0	1	1	938.9090909090909	175.42424242424244	0	28
1	1	2	373.30263157894734	405.4736842105263	0	55
2	1	3	171.3116883116883	421.2987012987013	0	57
3	1	4	300.6376811594203	477.17391304347825	0	64
4	1	5	789.9333333333333	502.5466666666667	0	73
5	1	6	479.4736842105263	550.4561403508771	0	82
6	1	7	1067.3548387096773	604.6290322580645	0	95
7	1	8	1042.983870967742	610.0967741935484	0	97
8	1	9	778.560975609756	622.2073170731708	0	99
9	1	10	729.2784810126582	693.8860759493671	0	108
10	1	11	609.3636363636364	746.1168831168832	0	110
11	1	12	240.62765957446808	808.7978723404256	0	115
12	1	13	283.6923076923077	823.4945054945055	0	118
13	1	14	418.7951807228916	874.5421686746988	0	126
14	1	15	264.3880597014925	902.7014925373135	0	133
15	1	16	593.3066666666666	902.2933333333333	0	134
16	1	17	500.3098591549296	930.7183098591549	0	140
17	1	18	271.0987654320988	940.3086419753087	0	146
18	1	19	454.02777777777777	950.9861111111111	0	149
19	1	20	490.0	973.7875	0	152
