	ImageNumber	ObjectNumber	Location_Center_X	Location_Center_Y	Location_Center_Z	Mitocheck_Object_ID
0	1	1	501.05479452054794	128.78082191780823	0	7
1	1	2	517.8780487804878	140.03658536585365	0	7
2	1	3	505.38775510204084	153.3265306122449	0	7
3	1	4	491.9594594594595	164.90540540540542	0	7
4	1	5	528.0930232558139	174.82558139534885	0	7
5	1	6	209.2	189.86	0	15
6	1	7	195.51063829787233	193.36170212765958	0	15
7	1	8	217.3265306122449	201.42857142857142	0	15
8	1	9	191.0	209.17460317460316	0	15
9	1	10	207.26415094339623	209.69811320754718	0	15
10	1	11	604.9848484848485	266.45454545454544	0	34
11	1	12	496.6666666666667	276.56060606060606	0	40
12	1	13	607.0285714285715	316.2857142857143	0	46
13	1	14	621.6027397260274	353.0	0	50
14	1	15	536.5211267605633	397.7042253521127	0	58
15	1	16	1298.5238095238096	657.7619047619048	0	83
16	1	17	1313.344827586207	659.1551724137931	0	83
17	1	18	1288.0169491525423	668.6101694915254	0	83
18	1	19	1318.6825396825398	675.5714285714286	0	83
19	1	20	1303.4545454545455	670.6666666666666	0	83
20	1	21	776.8571428571429	693.7678571428571	0	85
21	1	22	765.625	705.3958333333334	0	85
22	1	23	788.9622641509434	706.622641509434	0	85
23	1	24	774.8275862068965	718.448275862069	0	85
24	1	25	1083.265306122449	725.469387755102	0	89
25	1	26	1103.3846153846155	733.2564102564103	0	89
26	1	27	1072.9888888888888	740.2222222222222	0	89
27	1	28	489.469696969697	761.0454545454545	0	90
28	1	29	501.6268656716418	806.4179104477612	0	96
29	1	30	281.36764705882354	911.5588235294117	0	110
