	ImageNumber	ObjectNumber	Location_Center_X	Location_Center_Y	Location_Center_Z	Mitocheck_Object_ID
0	1	1	399.0095238095238	35.857142857142854	0	12
1	1	2	395.2421052631579	84.32631578947368	0	24
2	1	3	395.4	105.17777777777778	0	24
3	1	4	600.1538461538462	127.75	0	38
4	1	5	354.3623188405797	140.9855072463768	0	39
5	1	6	592.7755102040817	143.87755102040816	0	38
6	1	7	126.23076923076923	147.46153846153845	0	40
7	1	8	605.5348837209302	152.34883720930233	0	38
8	1	9	131.21212121212122	161.37878787878788	0	40
9	1	10	347.48571428571427	158.4	0	39
10	1	11	111.66666666666667	165.29166666666666	0	40
11	1	12	594.4315789473684	194.29473684210527	0	51
12	1	13	579.1944444444445	203.69444444444446	0	51
13	1	14	969.0975609756098	296.3048780487805	0	91
14	1	15	428.59550561797755	687.3258426966293	0	258
15	1	16	242.1139240506329	888.6075949367089	0	305
16	1	17	434.85981308411215	924.6915887850467	0	314
