	ImageNumber	ObjectNumber	Location_Center_X	Location_Center_Y	Location_Center_Z	Mitocheck_Object_ID
0	1	1	380.5147058823529	19.308823529411764	0	14
1	1	2	417.24074074074076	19.814814814814813	0	14
2	1	3	397.94594594594594	16.89189189189189	0	14
3	1	4	406.1320754716981	26.30188679245283	0	14
4	1	5	391.9166666666667	33.88333333333333	0	14
5	1	6	217.5648148148148	93.62962962962963	0	31
6	1	7	222.08860759493672	121.79746835443038	0	31
7	1	8	226.2394366197183	138.92957746478874	0	31
8	1	9	228.5072463768116	153.17391304347825	0	31
9	1	10	127.61946902654867	166.73451327433628	0	43
10	1	11	153.04054054054055	178.05405405405406	0	43
11	1	12	99.90361445783132	379.0722891566265	0	82
12	1	13	99.00961538461539	398.125	0	82
13	1	14	147.07070707070707	536.1212121212121	0	114
14	1	15	164.96428571428572	560.4404761904761	0	114
15	1	16	187.10227272727272	566.9772727272727	0	114
16	1	17	1259.5245901639344	621.5409836065573	0	130
17	1	18	1235.78	627.8	0	130
18	1	19	1248.7833333333333	632.5833333333334	0	130
19	1	20	1227.5762711864406	638.8474576271186	0	130
20	1	21	1240.4423076923076	649.0192307692307	0	130
21	1	22	536.6190476190476	683.202380952381	0	143
22	1	23	540.2526315789473	705.5473684210526	0	143
23	1	24	572.8686868686868	720.4848484848485	0	143
24	1	25	559.3389830508474	712.2203389830509	0	143
25	1	26	773.8101265822785	756.2405063291139	0	166
26	1	27	793.2619047619048	782.5952380952381	0	166
27	1	28	773.7297297297297	774.1621621621622	0	166
28	1	29	658.2	827.925925925926	0	184
29	1	30	1006.7758620689655	853.5344827586207	0	193
30	1	31	1021.6984126984127	863.0952380952381	0	193
