	ImageNumber	ObjectNumber	Location_Center_X	Location_Center_Y	Location_Center_Z	Mitocheck_Object_ID
0	1	1	457.27777777777777	199.0	0	16
1	1	2	474.6779661016949	216.67796610169492	0	16
2	1	3	558.8651685393259	374.0112359550562	0	50
3	1	4	479.9855072463768	375.4492753623188	0	52
4	1	5	480.3703703703704	436.82716049382714	0	61
5	1	6	575.0714285714286	452.1309523809524	0	63
6	1	7	539.8970588235294	506.70588235294116	0	80
7	1	8	435.4054054054054	586.581081081081	0	101
8	1	9	690.081081081081	622.0675675675676	0	117
9	1	10	430.8607594936709	642.7088607594936	0	127
10	1	11	172.3793103448276	758.2873563218391	0	162
11	1	12	161.96	771.8	0	162
12	1	13	128.1095890410959	774.4246575342465	0	164
13	1	14	176.7659574468085	779.6595744680851	0	162
14	1	15	340.6666666666667	789.6388888888889	0	167
15	1	16	130.92307692307693	788.3186813186813	0	164
16	1	17	122.3913043478261	801.8260869565217	0	164
17	1	18	140.1625	809.7875	0	164
18	1	19	753.1060606060606	814.969696969697	0	173
