	ImageNumber	ObjectNumber	Location_Center_X	Location_Center_Y	Location_Center_Z	Mitocheck_Object_ID
0	1	1	937.0	107.53535353535354	0	48
1	1	2	922.020202020202	139.87878787878788	0	48
2	1	3	1113.8	384.8933333333333	0	128
3	1	4	1078.7563025210084	555.0	0	159
4	1	5	1097.4363636363637	809.5363636363636	0	218
5	1	6	657.1888888888889	830.3111111111111	0	226
6	1	7	688.2588235294118	834.7764705882353	0	226
7	1	8	1113.42	869.42	0	236
8	1	9	1064.6909090909091	878.8	0	242
9	1	10	744.4266666666666	899.3066666666666	0	251
10	1	11	1088.5151515151515	910.0909090909091	0	242
11	1	12	747.8979591836735	912.0204081632653	0	251
12	1	13	737.8888888888889	929.5222222222222	0	251
13	1	14	835.9080459770115	965.919540229885	0	272
14	1	15	847.6162790697674	994.8255813953489	0	272
