	ImageNumber	ObjectNumber	Location_Center_X	Location_Center_Y	Location_Center_Z	Mitocheck_Object_ID
0	1	1	555.4302325581396	264.74418604651163	0	47.0
1	1	2	514.5070422535211	265.49295774647885	0	49.0
2	1	3	510.8	278.6	0	49.0
3	1	4	522.2	282.7111111111111	0	49.0
4	1	5	560.7428571428571	280.9142857142857	0	47.0
5	1	6	670.6857142857143	316.8857142857143	0	61.0
6	1	7	679.1111111111111	333.7037037037037	0	61.0
7	1	8	664.7678571428571	331.14285714285717	0	61.0
8	1	9	621.0666666666667	377.6	0	68.0
9	1	10	641.716049382716	379.30864197530866	0	68.0
10	1	11	638.0	397.8857142857143	0	68.0
11	1	12	407.75531914893617	552.563829787234	0	94.0
12	1	13	385.74468085106383	562.6914893617021	0	94.0
13	1	14	977.1910112359551	578.6629213483146	0	102.0
14	1	15	994.3880597014926	589.4626865671642	0	102.0
15	1	16	1015.8163265306123	614.469387755102	0	102.0
16	1	17	987.2826086956521	619.4347826086956	0	102.0
17	1	18	970.5	630.890243902439	0	102.0
