	ImageNumber	ObjectNumber	Location_Center_X	Location_Center_Y	Location_Center_Z	Mitocheck_Object_ID
0	1	1	377.3058823529412	117.97647058823529	0	20
1	1	2	357.43333333333334	130.5222222222222	0	20
2	1	3	866.6727272727272	176.27272727272728	0	36
3	1	4	850.4807692307693	187.76923076923077	0	36
4	1	5	870.8888888888889	189.64814814814815	0	36
5	1	6	856.3225806451613	202.61290322580646	0	36
6	1	7	242.6829268292683	291.8292682926829	0	57
7	1	8	226.1829268292683	312.109756097561	0	57
8	1	9	816.620253164557	346.8481012658228	0	64
9	1	10	797.109756097561	361.1463414634146	0	64
10	1	11	834.7472527472528	368.4945054945055	0	64
11	1	12	818.5892857142857	382.44642857142856	0	64
12	1	13	782.4326923076923	396.3557692307692	0	64
13	1	14	810.9130434782609	391.3478260869565	0	64
14	1	15	829.6052631578947	404.13157894736844	0	64
15	1	16	800.3786407766991	467.90291262135923	0	86
16	1	17	172.48863636363637	475.45454545454544	0	90
17	1	18	123.125	474.6	0	90
18	1	19	140.4433962264151	484.811320754717	0	90
19	1	20	746.6785714285714	485.32142857142856	0	92
20	1	21	764.4888888888889	482.8222222222222	0	92
21	1	22	780.7777777777778	495.5925925925926	0	92
22	1	23	796.0	501.0945945945946	0	92
23	1	24	161.65384615384616	503.28205128205127	0	90
24	1	25	750.4022988505748	507.2068965517241	0	92
25	1	26	766.1785714285714	523.6904761904761	0	92
26	1	27	291.3837209302326	548.3023255813954	0	103
27	1	28	308.51724137931035	569.2528735632184	0	103
28	1	29	216.27058823529413	623.1882352941177	0	112
29	1	30	650.6024096385543	623.277108433735	0	113
30	1	31	215.56989247311827	654.5591397849462	0	112
31	1	32	535.96875	860.71875	0	135
32	1	33	552.9777777777778	890.2333333333333	0	135
33	1	34	98.36	969.36	0	150
