,Mitocheck_Phenotypic_Class,Single_Cell_Counts
0,Interphase,420
1,Polylobed,367
2,Prometaphase,345
3,OutOfFocus,304
4,Apoptosis,273
5,Binuclear,184
6,MetaphaseAlignment,175
7,SmallIrregular,164
8,Hole,114
9,Elongated,110
10,ADCCM,95
11,Anaphase,84
12,Large,79
13,Grape,74
14,Metaphase,74
15,Folded,54
