	ImageNumber	ObjectNumber	Location_Center_X	Location_Center_Y	Location_Center_Z	Mitocheck_Object_ID
0	1	1	1172.6764705882354	52.588235294117645	0	31
1	1	2	1030.7826086956522	56.11594202898551	0	33
2	1	3	1157.1891891891892	57.16216216216216	0	31
3	1	4	1168.7179487179487	66.92307692307692	0	31
4	1	5	1011.3246753246754	88.12987012987013	0	46
5	1	6	552.3214285714286	154.52380952380952	0	87
6	1	7	485.3529411764706	227.0392156862745	0	124
7	1	8	1052.804347826087	257.4782608695652	0	142
8	1	9	1062.1515151515152	268.8181818181818	0	142
9	1	10	1068.6774193548388	279.19354838709677	0	142
10	1	11	389.0	294.25	0	160
11	1	12	405.6969696969697	296.72727272727275	0	160
12	1	13	876.46875	307.25	0	164
13	1	14	1023.8541666666666	305.0	0	165
14	1	15	410.2413793103448	308.7586206896552	0	160
15	1	16	1071.6785714285713	316.32142857142856	0	168
16	1	17	567.7956989247311	320.0860215053763	0	169
17	1	18	806.6779661016949	320.33898305084745	0	167
18	1	19	1016.9661016949152	319.40677966101697	0	165
19	1	20	658.4782608695652	332.2282608695652	0	171
20	1	21	1032.1627906976744	324.25581395348837	0	165
21	1	22	1080.126984126984	329.87301587301585	0	168
22	1	23	490.17283950617286	345.28395061728395	0	176
23	1	24	1025.236559139785	362.0860215053763	0	183
24	1	25	1085.821052631579	360.3157894736842	0	184
25	1	26	780.6029411764706	378.5	0	188
26	1	27	666.506329113924	390.60759493670884	0	193
27	1	28	515.5714285714286	397.67857142857144	0	194
28	1	29	681.4666666666667	399.8666666666667	0	193
29	1	30	284.9493670886076	435.9493670886076	0	205
30	1	31	298.53846153846155	481.89230769230767	0	224
31	1	32	673.9705882352941	607.2941176470588	0	277
32	1	33	664.48	617.6	0	277
33	1	34	414.3943661971831	622.7464788732394	0	279
34	1	35	414.1842105263158	639.3157894736842	0	279
35	1	36	315.1521739130435	645.9347826086956	0	293
36	1	37	733.0	659.28	0	297
37	1	38	600.5211267605633	658.3661971830986	0	298
38	1	39	729.1272727272727	672.6909090909091	0	297
39	1	40	606.2444444444444	673.4888888888889	0	298
40	1	41	549.0408163265306	696.6326530612245	0	314
41	1	42	562.4029850746268	707.7910447761194	0	314
42	1	43	384.1290322580645	948.9032258064516	0	410
