	ImageNumber	ObjectNumber	Location_Center_X	Location_Center_Y	Location_Center_Z	Mitocheck_Object_ID
0	1	1	224.71028037383178	50.91588785046729	0	8.0
1	1	2	723.4795918367347	54.285714285714285	0	11.0
2	1	3	948.9021739130435	69.40217391304348	0	12.0
3	1	4	411.287037037037	102.56481481481481	0	15.0
4	1	5	1294.4464285714287	108.78571428571429	0	18.0
5	1	6	342.06	136.05	0	26.0
6	1	7	767.39	146.61	0	28.0
7	1	8	547.8924731182796	259.4193548387097	0	45.0
8	1	9	519.9404761904761	270.8333333333333	0	48.0
9	1	10	284.9230769230769	379.75824175824175	0	69.0
10	1	11	618.2380952380952	377.4761904761905	0	70.0
11	1	12	628.6410256410256	383.43589743589746	0	70.0
12	1	13	245.40860215053763	414.3225806451613	0	75.0
13	1	14	334.6770833333333	417.7708333333333	0	76.0
14	1	15	823.7826086956521	502.3768115942029	0	85.0
15	1	16	837.8133333333334	516.68	0	85.0
16	1	17	865.3960396039604	521.6930693069307	0	85.0
17	1	18	301.07042253521126	554.6478873239437	0	87.0
18	1	19	400.86206896551727	563.2758620689655	0	88.0
19	1	20	1240.2692307692307	608.3076923076923	0	95.0
20	1	21	1011.2098765432099	654.1851851851852	0	103.0
21	1	22	138.0	686.9619047619047	0	107.0
22	1	23	540.0307692307692	892.2153846153847	0	115.0
23	1	24	539.48	929.17	0	120.0
24	1	25	824.2596153846154	948.3365384615385	0	121.0
25	1	26	367.95604395604397	960.1208791208791	0	122.0
