	ImageNumber	ObjectNumber	Location_Center_X	Location_Center_Y	Location_Center_Z	Mitocheck_Object_ID
0	1	1	927.8876404494382	64.31460674157303	0	18
1	1	2	895.5977011494252	82.20689655172414	0	25
2	1	3	880.060606060606	88.27272727272727	0	25
3	1	4	995.9583333333334	143.28125	0	43
4	1	5	973.0327868852459	148.19672131147541	0	43
5	1	6	1018.5875	163.25	0	43
6	1	7	976.7241379310345	162.79310344827587	0	43
7	1	8	1023.9166666666666	174.83333333333334	0	43
8	1	9	133.50515463917526	244.3298969072165	0	68
9	1	10	153.42857142857142	270.38775510204084	0	68
10	1	11	167.52325581395348	295.24418604651163	0	68
11	1	12	1239.0526315789473	302.3157894736842	0	91
12	1	13	1262.7083333333333	317.4895833333333	0	91
13	1	14	1235.474358974359	326.38461538461536	0	91
14	1	15	1255.0722891566265	350.1566265060241	0	91
15	1	16	624.0	444.7938144329897	0	130
16	1	17	599.62	447.02	0	130
17	1	18	779.5402298850574	970.9655172413793	0	202
18	1	19	762.7096774193549	966.0	0	202
19	1	20	777.0	988.5454545454545	0	202
