	ImageNumber	ObjectNumber	Location_Center_X	Location_Center_Y	Location_Center_Z	Mitocheck_Object_ID
0	1	1	484.08	161.45333333333335	0	47
1	1	2	506.14084507042253	167.6338028169014	0	47
2	1	3	1110.2469135802469	179.28395061728395	0	53
3	1	4	993.875	193.1375	0	54
4	1	5	1124.4848484848485	197.06060606060606	0	53
5	1	6	985.3827160493827	220.79012345679013	0	54
6	1	7	1121.2987012987012	351.6623376623377	0	96
7	1	8	1267.0886075949368	364.8607594936709	0	104
8	1	9	1287.6166666666666	363.78333333333336	0	104
9	1	10	1301.1666666666667	370.65	0	104
10	1	11	1110.3333333333333	373.26666666666665	0	96
11	1	12	1267.6438356164383	381.986301369863	0	104
12	1	13	1292.3880597014925	385.1641791044776	0	104
13	1	14	1042.8072289156626	695.9397590361446	0	182
14	1	15	1043.8311688311687	719.9480519480519	0	182
15	1	16	1047.142857142857	788.0571428571428	0	201
16	1	17	1170.6344086021506	803.8494623655914	0	202
17	1	18	1150.1666666666667	804.5166666666667	0	202
18	1	19	1058.6756756756756	809.8783783783783	0	201
19	1	20	1138.9166666666667	824.4	0	202
20	1	21	1163.2368421052631	837.0	0	202
21	1	22	1144.1492537313434	845.5074626865671	0	202
22	1	23	389.6931818181818	852.8977272727273	0	212
23	1	24	576.3376623376623	873.5584415584416	0	216
24	1	25	390.74117647058824	879.1176470588235	0	212
25	1	26	594.9113924050633	893.1139240506329	0	216
