	ImageNumber	ObjectNumber	Location_Center_X	Location_Center_Y	Location_Center_Z	Mitocheck_Object_ID
0	1	1	958.8823529411765	129.8235294117647	0	28
1	1	2	847.6666666666666	129.84126984126985	0	31
2	1	3	982.0978260869565	138.0108695652174	0	28
3	1	4	911.9701492537314	133.0597014925373	0	32
4	1	5	1256.8985507246377	149.0144927536232	0	33
5	1	6	457.36764705882354	154.7058823529412	0	34
6	1	7	822.0461538461539	175.44615384615383	0	38
7	1	8	651.5806451612904	197.33333333333334	0	40
8	1	9	1259.927536231884	203.82608695652175	0	42
9	1	10	640.2978723404256	215.40425531914894	0	40
10	1	11	656.8333333333334	220.25925925925927	0	40
11	1	12	604.6515151515151	231.15151515151516	0	45
12	1	13	643.4897959183673	228.75510204081633	0	40
13	1	14	591.1538461538462	237.30769230769232	0	45
14	1	15	597.9574468085107	247.5531914893617	0	45
15	1	16	586.609375	257.90625	0	45
16	1	17	1059.9404761904761	424.3095238095238	0	59
17	1	18	172.6547619047619	518.952380952381	0	81
18	1	19	200.54098360655738	536.4590163934427	0	81
19	1	20	188.625	533.0625	0	81
20	1	21	1057.0882352941176	548.9803921568628	0	86
21	1	22	749.9333333333333	547.8	0	89
22	1	23	893.2739726027397	565.5205479452055	0	94
23	1	24	401.23376623376623	575.5454545454545	0	96
24	1	25	410.89285714285717	596.1190476190476	0	96
25	1	26	892.7567567567568	590.5945945945946	0	100
26	1	27	151.984375	628.375	0	106
27	1	28	1177.4533333333334	670.8	0	109
28	1	29	189.69135802469137	762.4814814814815	0	121
29	1	30	165.22368421052633	767.0	0	121
30	1	31	118.22368421052632	987.0394736842105	0	151
31	1	32	106.5875	1003.675	0	151
